Title,Authors,Year,DOI,PubMed IDs,Full Authors
Protein structure comparison using representation by line segment sequences.,Tatsuya Akutsu and Hiroshi Tashimo,1996,,9390221,"{7102080520: 'Tatsuya Akutsu', 7801453395: 'H. Tashimo'}"
Quaternion contact ribbons: a new tool for visualizing intra- and intermolecular interactions in proteins.,"Kurt Albrect, John Hart, Alex Shaw and A. Keith Dunker",1996,,9390222,"{7103391181: 'K. Albrecht', 55243117900: 'John C. Hart', 57196816409: 'A. Shaw', 7005069650: 'A. Keith Dunker'}"
Fast protein fold recognition via sequence to structure alignment and contact capacity potentials.,"Nickolai N. Alexandrov, Ruth Nussinov and Ralk M. Zimmer",1996,,9390223,"{7004299612: 'Nickolai N. Alexandrov', 34572176500: 'Ruth Nussinov', 7101690072: 'Ralf M. Zimmer'}"
A programming course in bioinformatics for computer and information science students.,Russ B. Altman and John Koza,1996,,9390224,"{7202798518: 'Russ B. Altman', 55167951500: 'J. Koza'}"
Massively parallel algorithms for chromosome reconstruction.,"Suchendra M. Bhandarkar, Sridhar Chirravuri, Jonathan Arnord and David Whitmire",1996,,9390225,"{7006828161: 'Suchendra M. Bhandarkar', 6508304626: 'Sridhar Chirravuri', 7403060429: 'Jonathan Arnold', 7004064831: 'David R. Whitmire'}"
"Structure formation of biopolymers is complex, their evolution may be simple.",Erich Bornberg-Bauer,1996,,9390226,{6603818279: 'Erich G. Bornberg-Bauer'}
RNA pseudoknot modeling using intersections of stochastic context free grammars with applications to database search.,"Michael Brown and Charles Wilson,",1996,,9390227,"{7405387632: 'Michael P.S. Brown', 58277207500: 'Charles Wilson'}"
How similar must a template protein be for homology modeling by side-chain packing methods?,"Su Yun Chung and S. Subbiah,",1996,,9390228,"{56305100600: 'Suyun Chung', 7003486831: 'Subramanian Subbiah'}"
Mixed direct-iterative methods for boundary integral formulations of dielectric solvation models.,"Steven A. Corcelli, Joel D. Kress, Lawrence R. Pratt and Gregory Tawa",1996,,9390229,"{6602388133: 'Steven A. Corcelli', 7102402058: 'Joel D. Kress', 7102436515: 'Lawrence R. Pratt', 57212600469: 'Gregory J. Tawa'}"
(Probably) all possible protein folds at low resolution.,Gordon Crippen and Vladimir Maiorov,1996,,9390230,"{7006327335: 'Gordon M. Crippen', 19535276200: 'Vladimir N. Maǐorov'}"
DNA computing based on splicing: universality results.,"Erzsebet Csuhaj-Varju, Rudolf Freund, Lila Kari, and Gheorge Paun",1996,,9390231,"{7003395443: 'Erzsébet Csuhaj-Varjú', 7101629410: 'Rudolf Freund', 7006576038: 'Lila Kari', 35584084400: 'Gheorgjie Páun'}"
Parallel discrete event simulation of Lyme disease.,"Ewa Deelman, Thomas Caraco, and Boleslaw K. Szymanski",1996,,9390232,"{26643042200: 'Ewa Deelman', 57203631993: 'Thomas Caraco', 7006034400: 'Boleslaw Karol Szymanski'}"
Distance education through the Internet: the GNA-VSNS biocomputing course.,"Francisco M. De La Vega, Robert Giegerich and Georg Fuellen",1996,,9390233,"{6701667422: 'Francisco M. de la Vega', 7004592888: 'Robert Giegerich', 6603052627: 'Georg F. Fuellen'}"
"Multifractals, encoded walks and the ergodicity of protein sequences.",T. Gregory Dewey and Bonnie J. Strait,1996,,9390234,"{8097985900: 'Thomas Gregory Dewey', 6603317277: 'Bonnie J. Strait'}"
List update processing (LUP)--solving the sequence database update problem.,Reinhard Doelz and Florian Eggenberger,1996,,9390235,"{6602653733: 'Reinhard Doelz', 6602408778: 'F. Eggenberger'}"
Circular clustering of protein dihedral angles by Minimum Message Length.,"David L. Dowe, Lloyd Allison, Trevor Dix, Lawrence Hunter, Chris S. Wallace and Timothy Edgoose",1996,,9390236,"{6701848629: 'David L. Dowe', 7006031094: 'Lloyd Allison', 7004680964: 'Trevor I. Dix', 58437448300: 'L. Hunter', 7402176519: 'Christopher S. Wallace', 6602635094: 'Timothy Edgoose'}"
An object-oriented data-driven migration model.,Keith Downing,1996,,9390237,{57525016400: 'K. Downing'}
On the definition and the construction of pockets in macromolecules.,"Herbert Edelsbrunner, Michael Facello and Jie Liang",1996,,9390238,"{7005273880: 'Herbert Edelsbrunner', 6507598581: 'Michael A. Facello', 35215765500: 'Jie Liang'}"
DNA splicing systems and post systems.,C. Ferretti and S. Kobayashi ,1996,,9390239,"{57191135612: 'Claudio Ferretti', 56209234700: 'Satoshi Kobayashi'}"
Assessing the performance of fold recognition methods by means of a comprehensive benchmark.,"Daniel Fischer, Arne Elofsson, Danny Rice and David Eisenberg",1996,,9390240,"{55423941800: 'Daniel Fischer', 7003471235: 'Arne Elofsson', 7402055562: 'Danny W. Rice', 19434183500: 'David S. Eisenberg'}"
Biocomputing education by the Australian National Genomic Information Service.,"Bruno A. Gaeta, Carolyn A. Bucholtz, Rowena Campbell, Camson Huynh, Stephanie Kim, and Alex H. Reisner",1996,,9390241,"{6602306027: 'Bruno A. Gaëta', 6601997836: 'Carolyn A. Bucholtz', 57198747586: 'R. M.M. Campbell', 7005973075: 'C. Huynh', 7601578652: 'S. H. Kim', 7005040123: 'A. H. Reisner'}"
Puzzle pieces defined: locating common packing units in tertiary protein contacts.,"K.M. Gernert, L.D. Bergman, B.D. Thomas, J.C. Plurad, J.S. Richardson, D.C. Richardson and L.D. Bergman",1996,,9390242,"{6603622262: 'Kim M. Gernert', 55417252800: 'B. D. Thomas', 6504369528: 'J. C. Plurad', 35501730000: 'Jane Shelby Richardson', 7403444819: 'David C. Richardson', 58584911600: 'Lawrence D. Bergman'}"
Using multiple alignments and phylogenetic trees to detect RNA secondary structure.,Brad Gulko and David Haussler,1996,,9390243,"{57191377970: 'B. Gulko', 7006637893: 'David H. Haussler'}"
A branch and bound algorithm for local multiple alignment.,Paul Horton,1996,,9390244,{57203184102: 'Paul B. Horton'}
"Beyond the hyperactive molecule: search, salvage and visualization of chemical information from the Internet.",Wolf-Dietrich Ihlenfeldt and Johann Gasteiger,1996,,9390245,"{35613120100: 'Wolf Dietrich Ihlenfeldt', 7005849709: 'Johann Gasteiger'}"
"An introductory course in computation molecular biology: rationale, history, observations, and course description.","Susan J. Johns, Steve M. Thompson, and A.Keith Dunker",1996,,9390246,"{57007081800: 'Susan J. Johns', 58359619000: 'S. M. Thompson', 7005069650: 'A. Keith Dunker'}"
Visualisation in the SPROUT molecular design program.,A. Peter Johnson and Zsolt Zsoldos,1996,,9390247,"{23070550000: 'Arthur Peter Johnson', 56617558700: 'Zsolt Zsoldos'}"
Computational evolution of a model polymer that folds to a specified target conformation.,Richard Judson,1996,,9390248,{35302023300: 'Richard S. Judson'}
A protocol for maintaining multidatabase referential integrity.,Peter Karp,1996,,9390249,{7006431499: 'Peter D. Karp'}
An algorithm for prediction of structural elements in small proteins.,"Andrzej Kolinski, Jeffrey Skolnick and Adam Godzik",1996,,9390250,"{7006356760: 'Andrzej Koliński', 7103056580: 'Jeffrey Skolnick’', 7007144993: 'Adam Godzik'}"
